iter	Passed	Remaining
401	11696	17399
402	11721	17363
403	11745	17327
404	11765	17284
405	11787	17245
406	11805	17200
407	11835	17173
408	11860	17138
409	11884	17101
410	11902	17057
411	11929	17025
412	11951	16986
413	11985	16964
414	12003	16919
415	12027	16885
416	12050	16847
417	12075	16813
418	12093	16769
419	12115	16730
420	12134	16688
421	12161	16657
422	12183	16619
423	12201	16576
424	12230	16546
425	12261	16521
426	12284	16485
427	12302	16442
428	12326	16406
429	12352	16373
430	12389	16356
431	12412	16319
432	12431	16278
433	12454	16242
434	12488	16220
435	12510	16182
436	12531	16144
437	12558	16114
438	12593	16092
439	12615	16056
440	12640	16023
441	12664	15988
442	12691	15957
443	12715	15923
444	12741	15890
445	12760	15850
446	12784	15816
447	12813	15788
448	12839	15756
449	12859	15717
450	12881	15680
451	12908	15650
452	12930	15613
453	12959	15585
454	12979	15547
455	13004	15513
456	13039	15493
457	13064	15461
458	13095	15435
459	13124	15406
460	13145	15369
461	13168	15334
462	13188	15296
463	13211	15261
464	13239	15232
465	13279	15216
466	13325	15209
467	13361	15188
468	13386	15156
469	13415	15128
470	13449	15105
471	13474	15073
472	13504	15046
473	13550	15037
474	13582	15012
475	13620	14993
476	13777	15106
477	13893	15172
478	13959	15183
479	13991	15157
480	14023	15130
481	14074	15125
482	14100	15093
483	14121	15055
484	14146	15021
485	14166	14983
486	14190	14947
487	14219	14918
488	14239	14880
489	14266	14848
490	14288	14812
491	14334	14800
492	14374	14783
493	14399	14748
494	14419	14710
495	14442	14675
496	14466	14641
497	14492	14608
498	14516	14575
499	14550	14550
500	14575	14517
501	14600	14484
502	14624	14450
503	14646	14413
504	14668	14377
505	14694	14346
506	14736	14329
507	14768	14303
508	14795	14271
509	14816	14235
510	14846	14207
511	14866	14170
512	14894	14139
513	14918	14105
514	14941	14070
515	14964	14036
516	14985	14000
517	15012	13969
518	15033	13932
519	15056	13898
520	15074	13859
521	15095	13823
522	15129	13799
523	15154	13766
524	15183	13737
525	15209	13705
526	15230	13670
527	15255	13637
528	15277	13602
529	15300	13568
530	15355	13562
531	15389	13538
532	15409	13501
533	15434	13468
534	15456	13434
535	15483	13403
536	15507	13370
537	15541	13345
538	15560	13308
539	15591	13281
540	15611	13245
541	15642	13217
542	15661	13181
543	15685	13148
544	15707	13113
545	15730	13080
546	15757	13049
547	15780	13015
548	15806	12984
549	15829	12951
550	15858	12923
551	15880	12888
552	15912	12862
553	15933	12827
554	15960	12797
555	15989	12768
556	16010	12733
557	16030	12697
558	16054	12665
559	16078	12633
560	16097	12596
561	16124	12566
562	16145	12532
563	16178	12507
564	16206	12477
565	16243	12455
566	16280	12433
567	16351	12436
568	16396	12419
569	16435	12398
570	16475	12378
571	16506	12350
572	16546	12330
573	16573	12300
574	16593	12264
575	16617	12232
576	16647	12204
577	16669	12170
578	16700	12142
579	16720	12108
580	16742	12073
581	16768	12043
582	16789	12009
583	16820	11981
584	16843	11948
585	16870	11918
586	16890	11884
587	16912	11850
588	16938	11819
589	16967	11791
590	16990	11758
591	17013	11725
592	17034	11691
593	17053	11656
594	17079	11625
595	17101	11592
596	17121	11557
597	17145	11525
598	17169	11493
599	17202	11468
600	17231	11439
601	17253	11406
602	17279	11376
603	17318	11354
604	17353	11329
605	17381	11300
606	17406	11269
607	17430	11238
608	17455	11206
609	17485	11179
610	17526	11158
611	17549	11126
612	17570	11092
613	17596	11062
614	17627	11035
615	17648	11001
616	17668	10967
617	17690	10935
618	17714	10903
619	17747	10877
620	17768	10844
621	17791	10812
622	17814	10780
623	17837	10748
624	17861	10716
625	17883	10684
626	17903	10650
627	17927	10619
628	17952	10588
629	17972	10555
630	17996	10524
631	18028	10497
632	18056	10468
633	18078	10436
634	18099	10403
635	18119	10370
636	18159	10348
637	18181	10315
638	18200	10282
639	18227	10252
640	18249	10220
641	18292	10200
642	18316	10169
643	18337	10136
644	18364	10107
645	18388	10076
646	18414	10046
647	18434	10013
648	18466	9987
649	18520	9972
650	18548	9944
651	18574	9913
652	18596	9882
653	18617	9849
654	18676	9837
655	18711	9812
656	18754	9790
657	18795	9769
658	18823	9740
659	18860	9715
660	18905	9695
661	18927	9663
662	18949	9631
663	18970	9599
664	18998	9570
665	19022	9539
666	19059	9515
667	19089	9487
668	19115	9457
669	19138	9426
670	19158	9393
671	19184	9363
672	19207	9332
673	19228	9300
674	19260	9273
675	19293	9247
676	19322	9218
677	19347	9188
678	19371	9157
679	19395	9127
680	19418	9096
681	19441	9065
682	19462	9032
683	19484	9001
684	19510	8972
685	19545	8946
686	19581	8921
687	19610	8893
688	19639	8865
689	19687	8845
690	19721	8819
691	19743	8787
692	19769	8757
693	19791	8726
694	19816	8696
695	19839	8665
696	19863	8634
697	19891	8606
698	19917	8576
699	19942	8546
700	19962	8514
701	19986	8484
702	20009	8453
703	20037	8424
704	20063	8395
705	20084	8363
706	20113	8335
707	20136	8304
708	20157	8273
709	20183	8243
710	20206	8213
711	20230	8182
712	20254	8153
713	20282	8124
714	20307	8094
715	20332	8064
716	20354	8033
717	20385	8006
718	20406	7975
719	20434	7946
720	20456	7915
721	20501	7893
722	20525	7863
723	20550	7834
724	20569	7802
725	20593	7772
726	20621	7743
727	20649	7715
728	20675	7685
729	20694	7653
730	20722	7625
731	20748	7596
732	20767	7564
733	20791	7534
734	20813	7504
735	20834	7473
736	20861	7444
737	20899	7419
738	20926	7390
739	20957	7363
740	20978	7332
741	20999	7301
742	21024	7272
743	21059	7246
744	21093	7219
745	21131	7194
746	21182	7174
747	21211	7146
748	21245	7119
749	21289	7096
750	21327	7071
751	21349	7040
752	21376	7011
753	21397	6981
754	21427	6953
755	21480	6932
756	21500	6901
757	21522	6871
758	21544	6840
759	21572	6812
760	21591	6781
761	21614	6751
762	21637	6721
763	21660	6690
764	21686	6661
765	21719	6634
766	21740	6604
767	21760	6573
768	21786	6544
769	21807	6513
770	21828	6483
771	21850	6453
772	21880	6425
773	21901	6395
774	21923	6364
775	21945	6334
776	21974	6306
777	21998	6277
778	22020	6247
779	22041	6216
780	22061	6186
781	22083	6156
782	22108	6127
783	22136	6098
784	22157	6068
785	22179	6038
786	22208	6010
787	22241	5983
788	22273	5956
789	22296	5926
790	22318	5897
791	22339	5867
792	22363	5837
793	22387	5808
794	22415	5779
795	22438	5750
796	22469	5723
797	22499	5695
798	22523	5666
799	22555	5638
800	22581	5610
801	22604	5580
802	22624	5550
803	22648	5521
804	22671	5491
805	22693	5462
806	22715	5432
807	22746	5405
808	22772	5376
809	22796	5347
810	22815	5316
811	22837	5287
812	22857	5257
813	22883	5228
814	22914	5201
815	22944	5173
816	22967	5144
817	22986	5114
818	23019	5087
819	23042	5058
820	23064	5028
821	23084	4998
822	23106	4969
823	23131	4940
824	23152	4911
825	23174	4881
826	23197	4852
827	23219	4823
828	23254	4796
829	23282	4768
830	23304	4739
831	23327	4710
832	23360	4683
833	23381	4653
834	23403	4624
835	23428	4596
836	23464	4569
837	23500	4543
838	23533	4515
839	23587	4492
840	23620	4465
841	23657	4439
842	23694	4412
843	23722	4384
844	23767	4359
845	23795	4331
846	23822	4303
847	23840	4273
848	23864	4244
849	23895	4216
850	23921	4188
851	23944	4159
852	23964	4129
853	23992	4101
854	24012	4072
855	24032	4042
856	24054	4013
857	24084	3986
858	24111	3957
859	24130	3928
860	24159	3900
861	24182	3871
862	24209	3843
863	24232	3814
864	24258	3786
865	24282	3757
866	24308	3728
867	24332	3700
868	24357	3671
869	24386	3643
870	24409	3615
871	24447	3588
872	24467	3559
873	24493	3531
874	24513	3501
875	24541	3473
876	24560	3444
877	24595	3417
878	24621	3389
879	24662	3363
880	24697	3336
881	24722	3307
882	24743	3278
883	24765	3249
884	24791	3221
885	24812	3192
886	24837	3164
887	24858	3135
888	24896	3108
889	24920	3080
890	24943	3051
891	24969	3023
892	24994	2994
893	25016	2966
894	25039	2937
895	25057	2908
896	25079	2879
897	25116	2852
898	25148	2825
899	25169	2796
900	25203	2769
901	25228	2740
902	25250	2712
903	25271	2683
904	25292	2654
905	25320	2627
906	25341	2598
907	25359	2569
908	25401	2542
909	25443	2516
910	25460	2487
911	25482	2458
912	25504	2430
913	25529	2402
914	25550	2373
915	25572	2345
916	25592	2316
917	25617	2288
918	25648	2260
919	25676	2232
920	25704	2204
921	25729	2176
922	25755	2148
923	25784	2120
924	25806	2092
925	25839	2064
926	25868	2037
927	25907	2010
928	25950	1983
929	26003	1957
930	26030	1929
931	26073	1902
932	26103	1874
933	26134	1846
934	26171	1819
935	26205	1791
936	26235	1763
937	26266	1736
938	26288	1707
939	26312	1679
940	26339	1651
941	26367	1623
942	26397	1595
943	26427	1567
944	26454	1539
945	26553	1515
946	26639	1490
947	26749	1467
948	26809	1440
949	26833	1412
950	26855	1383
951	26879	1355
952	26904	1326
953	26923	1298
954	26945	1269
955	26976	1241
956	27001	1213
957	27021	1184
958	27044	1156
959	27068	1127
960	27099	1099
961	27120	1071
962	27145	1042
963	27167	1014
964	27198	986
965	27225	958
966	27252	930
967	27278	901
968	27302	873
969	27326	845
970	27348	816
971	27368	788
972	27403	760
973	27433	732
974	27456	704
975	27478	675
976	27515	647
977	27535	619
978	27559	591
979	27580	562
980	27611	534
981	27630	506
982	27652	478
983	27676	450
984	27696	421
985	27729	393
986	27759	365
987	27779	337
988	27800	309
989	27828	281
990	27854	252
991	27875	224
992	27897	196
993	27921	168
994	27957	140
995	27978	112
996	27998	84
997	28022	56
998	28055	28
999	28078	0
