iter	Logloss
0	0.6654263457
1	0.6394450489
2	0.6136923438
3	0.5934095027
4	0.5726245953
5	0.5522713433
6	0.533686904
7	0.5123910186
8	0.4948166068
9	0.4753622657
10	0.4607640952
11	0.4476601488
12	0.4351704993
13	0.4198615825
14	0.4083519301
15	0.397750518
16	0.3848811509
17	0.374463494
18	0.3657191752
19	0.3573993407
20	0.3480243407
21	0.3395173163
22	0.332548842
23	0.3251076818
24	0.3196773399
25	0.3137792551
26	0.3068372371
27	0.3018290589
28	0.295829187
29	0.2909601132
30	0.2846813361
31	0.2807194815
32	0.2770948287
33	0.2720610992
34	0.2685877347
35	0.263806895
36	0.259030279
37	0.2553098497
38	0.2530377638
39	0.2505596204
40	0.2479051713
41	0.2449600278
42	0.2418363738
43	0.238652845
44	0.2362028057
45	0.2332070238
46	0.2301819312
47	0.2276769138
48	0.2256904399
49	0.2240443241
50	0.2220486369
51	0.2204679192
52	0.2183114752
53	0.2162855257
54	0.2145880057
55	0.2131578801
56	0.2114619846
57	0.2098199068
58	0.2081379357
59	0.2060259105
60	0.2043575853
61	0.2027758232
62	0.2014369254
63	0.1997957295
64	0.1985045226
65	0.1969855131
66	0.1959617934
67	0.194245696
68	0.1927948114
69	0.1914052869
70	0.1900091483
71	0.1887787677
72	0.1879049671
73	0.1867314676
74	0.1858238307
75	0.1847595563
76	0.1835741282
77	0.1823903131
78	0.1814592717
79	0.1803289145
80	0.1791444147
81	0.1781097992
82	0.1770557592
83	0.1761723043
84	0.1753154566
85	0.1744677177
86	0.1736424435
87	0.1728741664
88	0.1719663323
89	0.1711866488
90	0.1706079519
91	0.1698254603
92	0.1690119406
93	0.1683829304
94	0.1673591875
95	0.1667167519
96	0.1658779826
97	0.1650830519
98	0.1643137072
99	0.1637083452
100	0.1630173136
101	0.162566164
102	0.1618943943
103	0.1612132257
104	0.1606401219
105	0.159984725
106	0.1591834703
107	0.1585361611
108	0.1580341064
109	0.1574848828
110	0.1569616978
111	0.1564378746
112	0.1557535034
113	0.1552422237
114	0.15465436
115	0.1541843081
116	0.1536299673
117	0.1530406183
118	0.1526639409
119	0.1522021972
120	0.1514794875
121	0.1509728029
122	0.1504680677
123	0.1498665813
124	0.1493866663
125	0.1489059622
126	0.1483629582
127	0.1477854217
128	0.1472043462
129	0.1467139647
130	0.1462777838
131	0.145917978
132	0.1454082416
133	0.1447838729
134	0.1442140064
135	0.1438217801
136	0.1434029699
137	0.1429340667
138	0.1425469576
139	0.1421679711
140	0.1417795624
141	0.1413290046
142	0.1409180152
143	0.1405951322
144	0.1400811721
